TemplateType=fptcustom	Version=2026.0318	TemplateSignature=VE9ZU19BTkRfR0FNRVMsVE9ZX0ZJR1VSRQ==	settings=additionalMarketplaces=WyJhbXpuMS5tcC5vLkExUEE2Nzk1VUtNRlI5IiwiYW16bjEubXAuby5BMTNWMUlCM1ZJWVpaSCIsImFtem4xLm1wLm8uQVBKNkpSQTlORzVWNCIsImFtem4xLm1wLm8uQTFSS0tVUElIQ1M5SFMiLCJhbXpuMS5tcC5vLkExODA1SVpTR1RUNkhTIiwiYW16bjEubXAuby5BMlZJR1EzNVJDUzRVRyIsImFtem4xLm1wLm8uQU1FTjdQTVMzRURXTCIsImFtem4xLm1wLm8uQTJOT0RSS1pQODhaQjkiLCJhbXpuMS5tcC5vLkExQzNTT1pSQVJRNlIzIiwiYW16bjEubXAuby5BMjhSOEM3TkJLRVdFQSJd&attributeRow=3&attributeSettings=W3siYXR0cmlidXRlIjoicHVyY2hhc2FibGVfb2ZmZXJbbWFya2V0cGxhY2VfaWQ9QTFGODNHOEMyQVJPN1BdIzEuYXV0b21hdGVkX3ByaWNpbmdfbWVyY2hhbmRpc2luZ19ydWxlX3BsYW4jMS5tZXJjaGFuZGlzaW5nX3J1bGUucnVsZV9pZCIsImFsaWFzZXMiOnsiTm8gUHJpY2UgUnVsZSI6ImVtcHR5X3ZhbHVlX2xhYmVsIn19LHsiYXR0cmlidXRlIjoicHVyY2hhc2FibGVfb2ZmZXJbbWFya2V0cGxhY2VfaWQ9QTFQQTY3OTVVS01GUjldIzEuYXV0b21hdGVkX3ByaWNpbmdfbWVyY2hhbmRpc2luZ19ydWxlX3BsYW4jMS5tZXJjaGFuZGlzaW5nX3J1bGUucnVsZV9pZCIsImFsaWFzZXMiOnsiTm8gUHJpY2UgUnVsZSI6ImVtcHR5X3ZhbHVlX2xhYmVsIn19LHsiYXR0cmlidXRlIjoicHVyY2hhc2FibGVfb2ZmZXJbbWFya2V0cGxhY2VfaWQ9QTEzVjFJQjNWSVlaWkhdIzEuYXV0b21hdGVkX3ByaWNpbmdfbWVyY2hhbmRpc2luZ19ydWxlX3BsYW4jMS5tZXJjaGFuZGlzaW5nX3J1bGUucnVsZV9pZCIsImFsaWFzZXMiOnsiTm8gUHJpY2UgUnVsZSI6ImVtcHR5X3ZhbHVlX2xhYmVsIn19LHsiYXR0cmlidXRlIjoicHVyY2hhc2FibGVfb2ZmZXJbbWFya2V0cGxhY2VfaWQ9QVBKNkpSQTlORzVWNF0jMS5hdXRvbWF0ZWRfcHJpY2luZ19tZXJjaGFuZGlzaW5nX3J1bGVfcGxhbiMxLm1lcmNoYW5kaXNpbmdfcnVsZS5ydWxlX2lkIiwiYWxpYXNlcyI6eyJObyBQcmljZSBSdWxlIjoiZW1wdHlfdmFsdWVfbGFiZWwifX0seyJhdHRyaWJ1dGUiOiJwdXJjaGFzYWJsZV9vZmZlclttYXJrZXRwbGFjZV9pZD1BMVJLS1VQSUhDUzlIU10jMS5hdXRvbWF0ZWRfcHJpY2luZ19tZXJjaGFuZGlzaW5nX3J1bGVfcGxhbiMxLm1lcmNoYW5kaXNpbmdfcnVsZS5ydWxlX2lkIiwiYWxpYXNlcyI6eyJObyBQcmljZSBSdWxlIjoiZW1wdHlfdmFsdWVfbGFiZWwifX0seyJhdHRyaWJ1dGUiOiJwdXJjaGFzYWJsZV9vZmZlclttYXJrZXRwbGFjZV9pZD1BMTgwNUlaU0dUVDZIU10jMS5hdXRvbWF0ZWRfcHJpY2luZ19tZXJjaGFuZGlzaW5nX3J1bGVfcGxhbiMxLm1lcmNoYW5kaXNpbmdfcnVsZS5ydWxlX2lkIiwiYWxpYXNlcyI6eyJObyBQcmljZSBSdWxlIjoiZW1wdHlfdmFsdWVfbGFiZWwifX0seyJhdHRyaWJ1dGUiOiJwdXJjaGFzYWJsZV9vZmZlclttYXJrZXRwbGFjZV9pZD1BMlZJR1EzNVJDUzRVR10jMS5hdXRvbWF0ZWRfcHJpY2luZ19tZXJjaGFuZGlzaW5nX3J1bGVfcGxhbiMxLm1lcmNoYW5kaXNpbmdfcnVsZS5ydWxlX2lkIiwiYWxpYXNlcyI6eyJObyBQcmljZSBSdWxlIjoiZW1wdHlfdmFsdWVfbGFiZWwifX0seyJhdHRyaWJ1dGUiOiJwdXJjaGFzYWJsZV9vZmZlclttYXJrZXRwbGFjZV9pZD1BTUVON1BNUzNFRFdMXSMxLmF1dG9tYXRlZF9wcmljaW5nX21lcmNoYW5kaXNpbmdfcnVsZV9wbGFuIzEubWVyY2hhbmRpc2luZ19ydWxlLnJ1bGVfaWQiLCJhbGlhc2VzIjp7Ik5vIFByaWNlIFJ1bGUiOiJlbXB0eV92YWx1ZV9sYWJlbCJ9fSx7ImF0dHJpYnV0ZSI6InB1cmNoYXNhYmxlX29mZmVyW21hcmtldHBsYWNlX2lkPUEyTk9EUktaUDg4WkI5XSMxLmF1dG9tYXRlZF9wcmljaW5nX21lcmNoYW5kaXNpbmdfcnVsZV9wbGFuIzEubWVyY2hhbmRpc2luZ19ydWxlLnJ1bGVfaWQiLCJhbGlhc2VzIjp7Ik5vIFByaWNlIFJ1bGUiOiJlbXB0eV92YWx1ZV9sYWJlbCJ9fSx7ImF0dHJpYnV0ZSI6InB1cmNoYXNhYmxlX29mZmVyW21hcmtldHBsYWNlX2lkPUExQzNTT1pSQVJRNlIzXSMxLmF1dG9tYXRlZF9wcmljaW5nX21lcmNoYW5kaXNpbmdfcnVsZV9wbGFuIzEubWVyY2hhbmRpc2luZ19ydWxlLnJ1bGVfaWQiLCJhbGlhc2VzIjp7Ik5vIFByaWNlIFJ1bGUiOiJlbXB0eV92YWx1ZV9sYWJlbCJ9fSx7ImF0dHJpYnV0ZSI6InB1cmNoYXNhYmxlX29mZmVyW21hcmtldHBsYWNlX2lkPUEyOFI4QzdOQktFV0VBXSMxLmF1dG9tYXRlZF9wcmljaW5nX21lcmNoYW5kaXNpbmdfcnVsZV9wbGFuIzEubWVyY2hhbmRpc2luZ19ydWxlLnJ1bGVfaWQiLCJhbGlhc2VzIjp7Ik5vIFByaWNlIFJ1bGUiOiJlbXB0eV92YWx1ZV9sYWJlbCJ9fV0%3D&browseClassifications=W3sicHJvZHVjdFR5cGUiOiJUT1lTX0FORF9HQU1FUyIsImJyb3dzZUNsYXNzaWZpY2F0aW9uS2V5cyI6WyI2MDI3MjAzMSIsIjI2Mzg5MjYxMDMxIiwiNDk5ODAyMDMwMzEiLCIzNjQyNDcwMzEiLCI1MjMwNjY0MDMxIiwiNTA5OTEyMDMxIiwiMzY0MjE0MDMxIiwiMTQ1MjAwODQwMzEiLCIzNjQwNjcwMzEiLCI0NTUwNTEyMDMxIiwiMjYzODkyNTkwMzEiLCIxNDUyMDEwMzAzMSIsIjE0NTIwMjgyMDMxIiwiMTQ1MjAyNzcwMzEiLCI0OTk4MDI2OTAzMSIsIjI3MDEzODQ5MDMxIiwiMjgxNjY5NDMwMzEiLCI1MjQ4Nzk0MDMxIiwiMjgxNjY5NDUwMzEiLCIzNjQzMDEwMzEiLCI1MjMwNjkwMDMxIiwiNTIzMTY2NDAzMSIsIjE0NTIwMDk4MDMxIiwiNTA5ODk0MDMxIiwiMjc5NTA2ODkwMzEiLCI1NDg5MjMwMzEiLCI0OTk4MDE4MzAzMSIsIjQ5OTgwMTg3MDMxIiwiMTQ1MjAxNzUwMzEiLCIxNDUyMDEwMjAzMSIsIjUyMzA3MzgwMzEiLCIyMjY0OTU4MDAzMSIsIjE0NTIwMjgxMDMxIiwiMzY0MjU4MDMxIiwiMjczNDYyMDcwMzEiLCIxNDUyMDE0NDAzMSIsIjQ5OTgwMTc2MDMxIiwiMjgxNjY5NDIwMzEiLCI0OTk4MDE5MjAzMSIsIjM2NDA3OTAzMSIsIjM2NDIyMjAzMSIsIjE1NzcyNzA4MDMxIiwiNDk5ODAyMDEwMzEiLCIxNDUyMDExMDAzMSIsIjQ1NTEzNjYwMzEiLCI1MDk5MDQwMzEiLCI1OTUzMTQiLCIxNDUyMDIyNzAzMSIsIjI2MTYzMTMwMDMxIiwiMTQ1MjAxNzIwMzEiLCI1MjMwNzEwMDMxIiwiMTQ1MjAyNjkwMzEiLCI0OTk4MDE4NjAzMSIsIjUyMzA3MTQwMzEiLCI1MjQ4NzU0MDMxIiwiMTQ1MjAxMDUwMzEiLCIxNDUyMDI4MDAzMSIsIjE0NTIwMTIwMDMxIiwiMTQ1MjAyNTIwMzEiLCIxNDUyMDI3NTAzMSIsIjU1MjExMjMwMzEiLCI1MjMwNjg5MDMxIiwiMzY0MjIxMDMxIiwiNTIzMDY2NTAzMSIsIjE0NTIwMTExMDMxIiwiMjYyNzU3MTUwMzEiLCIyMTczMTk1NzAzMSIsIjQ2MTE2NzAzMSIsIjUyMzA3MTEwMzEiLCI0OTk4MDE4OTAzMSIsIjM2NDA2NjAzMSIsIjE0NTIwMjgzMDMxIiwiNTI0ODc1MzAzMSIsIjE0NTIwMTA0MDMxIiwiMzY0MDcyMDMxIiwiMjgxNjY5NDAwMzEiLCIxNDUyMDMxMjAzMSIsIjE0NTIwMDc1MDMxIiwiNDk5ODAxOTEwMzEiXX0seyJwcm9kdWN0VHlwZSI6IlRPWV9GSUdVUkUiLCJicm93c2VDbGFzc2lmaWNhdGlvbktleXMiOlsiMTQ1MjAxNDEwMzEiLCIyNjI3NTcxNzAzMSJdfV0%3D&contentLanguageTag=en_GB&contributorId=amzn1.cr.o.ADYF1ZD5X4MB&dataRow=4&feedType=610841&flavor=mixed-M%40-UMP-seller&headerLanguageTag=en_GB&isEdit=false&isProcessingSummary=false&labelRow=2&listingsItemRequirement=LISTING&primaryMarketplaceId=amzn1.mp.o.A1F83G8C2ARO7P&productTypeRequirement=LISTING&ptds=VE9ZU19BTkRfR0FNRVMsVE9ZX0ZJR1VSRQ%3D%3D&reportProvenance=false&settingsHasAllDelocalizationData=false&templateIdentifier=aad699b6-b3d3-4c28-bb48-cd3d52ce0560&timestamp=2026-03-18T22%3A22%3A32.497Z&vendorCodes=W10%3D	      
Feed Product Type	Seller SKU	Update Delete	Your Price GBP (UK)	List Price with Tax for Display
feed_product_type	item_sku	update_delete	purchasable_offer[marketplace_id=A1F83G8C2ARO7P]#1.our_price#1.schedule#1.value_with_tax	list_price_with_tax
toyfigure	ALI-1005003372896446	PartialUpdate	19.99	19.99
toyfigure	ALI-1005003446600042	PartialUpdate	19.99	19.99
toyfigure	ALI-1005004669950999	PartialUpdate	19.99	19.99
toyfigure	ALI-1005004703422009	PartialUpdate	19.99	19.99
toyfigure	ALI-1005005023711168	PartialUpdate	19.99	19.99
toyfigure	ALI-1005005421726524	PartialUpdate	19.99	19.99
toyfigure	ALI-1005005695747888	PartialUpdate	19.99	19.99
toyfigure	ALI-1005005815789224	PartialUpdate	19.99	19.99
toyfigure	ALI-1005006085324929	PartialUpdate	19.99	19.99
toyfigure	ALI-1005006173922170	PartialUpdate	19.99	19.99
toyfigure	ALI-1005006173930082	PartialUpdate	19.99	19.99
toyfigure	ALI-1005006505644855	PartialUpdate	19.99	19.99
toyfigure	ALI-1005006505649827	PartialUpdate	19.99	19.99
toyfigure	ALI-1005006505694731	PartialUpdate	19.99	19.99
toyfigure	ALI-1005006505697702	PartialUpdate	19.99	19.99
toyfigure	ALI-1005006505750547	PartialUpdate	19.99	19.99
toyfigure	ALI-1005006505781486	PartialUpdate	19.99	19.99
toyfigure	ALI-1005006505820380	PartialUpdate	19.99	19.99
toyfigure	ALI-1005006505826389	PartialUpdate	19.99	19.99
toyfigure	ALI-1005006505845317	PartialUpdate	19.99	19.99
toyfigure	ALI-1005006507191209	PartialUpdate	19.99	19.99
toyfigure	ALI-1005006600278846	PartialUpdate	19.99	19.99
toyfigure	ALI-1005006644209629	PartialUpdate	19.99	19.99
toyfigure	ALI-1005006644351006	PartialUpdate	19.99	19.99
toyfigure	ALI-1005006666404512	PartialUpdate	19.99	19.99
toyfigure	ALI-1005006707903841	PartialUpdate	19.99	19.99
toyfigure	ALI-1005006753492571	PartialUpdate	19.99	19.99
toyfigure	ALI-1005006892059065	PartialUpdate	19.99	19.99
toyfigure	ALI-1005006913489745	PartialUpdate	19.99	19.99
toyfigure	ALI-1005006913649110	PartialUpdate	19.99	19.99
toyfigure	ALI-1005006913655103	PartialUpdate	19.99	19.99
toyfigure	ALI-1005006913679016	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007045579624	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007045598596	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007046881571	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007061659536	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007061916049	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007151298257	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007192520852	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007199039869	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007219419327	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007269458452	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007297119655	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007297207539	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007361554749	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007414131281	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007434430167	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007446770017	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007470675753	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007470756590	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007470917289	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007508138726	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007508150713	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007533252769	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007539375207	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007539625263	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007545259066	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007558626745	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007558705658	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007629501877	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007629901144	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007689044042	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007737407452	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007749318938	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007749560412	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007775397854	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007775532181	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007786992827	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007813873440	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007816898447	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007888200911	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007900305089	PartialUpdate	19.99	19.99
toyfigure	ALI-1005007900328034	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008103758943	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008103993358	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008204556434	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008211692393	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008212620865	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008218560830	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008247005811	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008247046418	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008247116244	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008252638147	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008252723736	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008252763617	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008264400967	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008264639098	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008281706783	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008281708845	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008281949262	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008306012729	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008306140627	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008306236371	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008309035759	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008310733727	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008311225625	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008321249167	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008321273027	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008343003625	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008343015658	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008343133379	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008355115887	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008355134788	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008355199678	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008355337443	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008409205488	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008414221558	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008455794929	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008455833755	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008455978116	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008468091377	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008468142074	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008481588304	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008481590562	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008483980705	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008484199615	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008491883634	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008496980752	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008500623985	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008500674925	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008500687140	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008500713411	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008501110426	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008501117292	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008513765090	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008515354917	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008515696288	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008516295439	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008537145965	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008537685519	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008537754032	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008537830660	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008537832902	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008537986987	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008542918421	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008548011726	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008559220752	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008559377265	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008559758724	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008559803212	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008576596998	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008576927859	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008577052081	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008577431084	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008579959887	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008580046638	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008599403323	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008600190882	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008600442949	PartialUpdate	19.99	19.99
