TemplateType=fptcustom	Version=2026.0318	TemplateSignature=VE9ZU19BTkRfR0FNRVMsVE9ZX0ZJR1VSRQ==	settings=additionalMarketplaces=WyJhbXpuMS5tcC5vLkExUEE2Nzk1VUtNRlI5IiwiYW16bjEubXAuby5BMTNWMUlCM1ZJWVpaSCIsImFtem4xLm1wLm8uQVBKNkpSQTlORzVWNCIsImFtem4xLm1wLm8uQTFSS0tVUElIQ1M5SFMiLCJhbXpuMS5tcC5vLkExODA1SVpTR1RUNkhTIiwiYW16bjEubXAuby5BMlZJR1EzNVJDUzRVRyIsImFtem4xLm1wLm8uQU1FTjdQTVMzRURXTCIsImFtem4xLm1wLm8uQTJOT0RSS1pQODhaQjkiLCJhbXpuMS5tcC5vLkExQzNTT1pSQVJRNlIzIiwiYW16bjEubXAuby5BMjhSOEM3TkJLRVdFQSJd&attributeRow=3&attributeSettings=W3siYXR0cmlidXRlIjoicHVyY2hhc2FibGVfb2ZmZXJbbWFya2V0cGxhY2VfaWQ9QTFGODNHOEMyQVJPN1BdIzEuYXV0b21hdGVkX3ByaWNpbmdfbWVyY2hhbmRpc2luZ19ydWxlX3BsYW4jMS5tZXJjaGFuZGlzaW5nX3J1bGUucnVsZV9pZCIsImFsaWFzZXMiOnsiTm8gUHJpY2UgUnVsZSI6ImVtcHR5X3ZhbHVlX2xhYmVsIn19LHsiYXR0cmlidXRlIjoicHVyY2hhc2FibGVfb2ZmZXJbbWFya2V0cGxhY2VfaWQ9QTFQQTY3OTVVS01GUjldIzEuYXV0b21hdGVkX3ByaWNpbmdfbWVyY2hhbmRpc2luZ19ydWxlX3BsYW4jMS5tZXJjaGFuZGlzaW5nX3J1bGUucnVsZV9pZCIsImFsaWFzZXMiOnsiTm8gUHJpY2UgUnVsZSI6ImVtcHR5X3ZhbHVlX2xhYmVsIn19LHsiYXR0cmlidXRlIjoicHVyY2hhc2FibGVfb2ZmZXJbbWFya2V0cGxhY2VfaWQ9QTEzVjFJQjNWSVlaWkhdIzEuYXV0b21hdGVkX3ByaWNpbmdfbWVyY2hhbmRpc2luZ19ydWxlX3BsYW4jMS5tZXJjaGFuZGlzaW5nX3J1bGUucnVsZV9pZCIsImFsaWFzZXMiOnsiTm8gUHJpY2UgUnVsZSI6ImVtcHR5X3ZhbHVlX2xhYmVsIn19LHsiYXR0cmlidXRlIjoicHVyY2hhc2FibGVfb2ZmZXJbbWFya2V0cGxhY2VfaWQ9QVBKNkpSQTlORzVWNF0jMS5hdXRvbWF0ZWRfcHJpY2luZ19tZXJjaGFuZGlzaW5nX3J1bGVfcGxhbiMxLm1lcmNoYW5kaXNpbmdfcnVsZS5ydWxlX2lkIiwiYWxpYXNlcyI6eyJObyBQcmljZSBSdWxlIjoiZW1wdHlfdmFsdWVfbGFiZWwifX0seyJhdHRyaWJ1dGUiOiJwdXJjaGFzYWJsZV9vZmZlclttYXJrZXRwbGFjZV9pZD1BMVJLS1VQSUhDUzlIU10jMS5hdXRvbWF0ZWRfcHJpY2luZ19tZXJjaGFuZGlzaW5nX3J1bGVfcGxhbiMxLm1lcmNoYW5kaXNpbmdfcnVsZS5ydWxlX2lkIiwiYWxpYXNlcyI6eyJObyBQcmljZSBSdWxlIjoiZW1wdHlfdmFsdWVfbGFiZWwifX0seyJhdHRyaWJ1dGUiOiJwdXJjaGFzYWJsZV9vZmZlclttYXJrZXRwbGFjZV9pZD1BMTgwNUlaU0dUVDZIU10jMS5hdXRvbWF0ZWRfcHJpY2luZ19tZXJjaGFuZGlzaW5nX3J1bGVfcGxhbiMxLm1lcmNoYW5kaXNpbmdfcnVsZS5ydWxlX2lkIiwiYWxpYXNlcyI6eyJObyBQcmljZSBSdWxlIjoiZW1wdHlfdmFsdWVfbGFiZWwifX0seyJhdHRyaWJ1dGUiOiJwdXJjaGFzYWJsZV9vZmZlclttYXJrZXRwbGFjZV9pZD1BMlZJR1EzNVJDUzRVR10jMS5hdXRvbWF0ZWRfcHJpY2luZ19tZXJjaGFuZGlzaW5nX3J1bGVfcGxhbiMxLm1lcmNoYW5kaXNpbmdfcnVsZS5ydWxlX2lkIiwiYWxpYXNlcyI6eyJObyBQcmljZSBSdWxlIjoiZW1wdHlfdmFsdWVfbGFiZWwifX0seyJhdHRyaWJ1dGUiOiJwdXJjaGFzYWJsZV9vZmZlclttYXJrZXRwbGFjZV9pZD1BTUVON1BNUzNFRFdMXSMxLmF1dG9tYXRlZF9wcmljaW5nX21lcmNoYW5kaXNpbmdfcnVsZV9wbGFuIzEubWVyY2hhbmRpc2luZ19ydWxlLnJ1bGVfaWQiLCJhbGlhc2VzIjp7Ik5vIFByaWNlIFJ1bGUiOiJlbXB0eV92YWx1ZV9sYWJlbCJ9fSx7ImF0dHJpYnV0ZSI6InB1cmNoYXNhYmxlX29mZmVyW21hcmtldHBsYWNlX2lkPUEyTk9EUktaUDg4WkI5XSMxLmF1dG9tYXRlZF9wcmljaW5nX21lcmNoYW5kaXNpbmdfcnVsZV9wbGFuIzEubWVyY2hhbmRpc2luZ19ydWxlLnJ1bGVfaWQiLCJhbGlhc2VzIjp7Ik5vIFByaWNlIFJ1bGUiOiJlbXB0eV92YWx1ZV9sYWJlbCJ9fSx7ImF0dHJpYnV0ZSI6InB1cmNoYXNhYmxlX29mZmVyW21hcmtldHBsYWNlX2lkPUExQzNTT1pSQVJRNlIzXSMxLmF1dG9tYXRlZF9wcmljaW5nX21lcmNoYW5kaXNpbmdfcnVsZV9wbGFuIzEubWVyY2hhbmRpc2luZ19ydWxlLnJ1bGVfaWQiLCJhbGlhc2VzIjp7Ik5vIFByaWNlIFJ1bGUiOiJlbXB0eV92YWx1ZV9sYWJlbCJ9fSx7ImF0dHJpYnV0ZSI6InB1cmNoYXNhYmxlX29mZmVyW21hcmtldHBsYWNlX2lkPUEyOFI4QzdOQktFV0VBXSMxLmF1dG9tYXRlZF9wcmljaW5nX21lcmNoYW5kaXNpbmdfcnVsZV9wbGFuIzEubWVyY2hhbmRpc2luZ19ydWxlLnJ1bGVfaWQiLCJhbGlhc2VzIjp7Ik5vIFByaWNlIFJ1bGUiOiJlbXB0eV92YWx1ZV9sYWJlbCJ9fV0%3D&browseClassifications=W3sicHJvZHVjdFR5cGUiOiJUT1lTX0FORF9HQU1FUyIsImJyb3dzZUNsYXNzaWZpY2F0aW9uS2V5cyI6WyI2MDI3MjAzMSIsIjI2Mzg5MjYxMDMxIiwiNDk5ODAyMDMwMzEiLCIzNjQyNDcwMzEiLCI1MjMwNjY0MDMxIiwiNTA5OTEyMDMxIiwiMzY0MjE0MDMxIiwiMTQ1MjAwODQwMzEiLCIzNjQwNjcwMzEiLCI0NTUwNTEyMDMxIiwiMjYzODkyNTkwMzEiLCIxNDUyMDEwMzAzMSIsIjE0NTIwMjgyMDMxIiwiMTQ1MjAyNzcwMzEiLCI0OTk4MDI2OTAzMSIsIjI3MDEzODQ5MDMxIiwiMjgxNjY5NDMwMzEiLCI1MjQ4Nzk0MDMxIiwiMjgxNjY5NDUwMzEiLCIzNjQzMDEwMzEiLCI1MjMwNjkwMDMxIiwiNTIzMTY2NDAzMSIsIjE0NTIwMDk4MDMxIiwiNTA5ODk0MDMxIiwiMjc5NTA2ODkwMzEiLCI1NDg5MjMwMzEiLCI0OTk4MDE4MzAzMSIsIjQ5OTgwMTg3MDMxIiwiMTQ1MjAxNzUwMzEiLCIxNDUyMDEwMjAzMSIsIjUyMzA3MzgwMzEiLCIyMjY0OTU4MDAzMSIsIjE0NTIwMjgxMDMxIiwiMzY0MjU4MDMxIiwiMjczNDYyMDcwMzEiLCIxNDUyMDE0NDAzMSIsIjQ5OTgwMTc2MDMxIiwiMjgxNjY5NDIwMzEiLCI0OTk4MDE5MjAzMSIsIjM2NDA3OTAzMSIsIjM2NDIyMjAzMSIsIjE1NzcyNzA4MDMxIiwiNDk5ODAyMDEwMzEiLCIxNDUyMDExMDAzMSIsIjQ1NTEzNjYwMzEiLCI1MDk5MDQwMzEiLCI1OTUzMTQiLCIxNDUyMDIyNzAzMSIsIjI2MTYzMTMwMDMxIiwiMTQ1MjAxNzIwMzEiLCI1MjMwNzEwMDMxIiwiMTQ1MjAyNjkwMzEiLCI0OTk4MDE4NjAzMSIsIjUyMzA3MTQwMzEiLCI1MjQ4NzU0MDMxIiwiMTQ1MjAxMDUwMzEiLCIxNDUyMDI4MDAzMSIsIjE0NTIwMTIwMDMxIiwiMTQ1MjAyNTIwMzEiLCIxNDUyMDI3NTAzMSIsIjU1MjExMjMwMzEiLCI1MjMwNjg5MDMxIiwiMzY0MjIxMDMxIiwiNTIzMDY2NTAzMSIsIjE0NTIwMTExMDMxIiwiMjYyNzU3MTUwMzEiLCIyMTczMTk1NzAzMSIsIjQ2MTE2NzAzMSIsIjUyMzA3MTEwMzEiLCI0OTk4MDE4OTAzMSIsIjM2NDA2NjAzMSIsIjE0NTIwMjgzMDMxIiwiNTI0ODc1MzAzMSIsIjE0NTIwMTA0MDMxIiwiMzY0MDcyMDMxIiwiMjgxNjY5NDAwMzEiLCIxNDUyMDMxMjAzMSIsIjE0NTIwMDc1MDMxIiwiNDk5ODAxOTEwMzEiXX0seyJwcm9kdWN0VHlwZSI6IlRPWV9GSUdVUkUiLCJicm93c2VDbGFzc2lmaWNhdGlvbktleXMiOlsiMTQ1MjAxNDEwMzEiLCIyNjI3NTcxNzAzMSJdfV0%3D&contentLanguageTag=en_GB&contributorId=amzn1.cr.o.ADYF1ZD5X4MB&dataRow=4&feedType=610841&flavor=mixed-M%40-UMP-seller&headerLanguageTag=en_GB&isEdit=false&isProcessingSummary=false&labelRow=2&listingsItemRequirement=LISTING&primaryMarketplaceId=amzn1.mp.o.A1F83G8C2ARO7P&productTypeRequirement=LISTING&ptds=VE9ZU19BTkRfR0FNRVMsVE9ZX0ZJR1VSRQ%3D%3D&reportProvenance=false&settingsHasAllDelocalizationData=false&templateIdentifier=aad699b6-b3d3-4c28-bb48-cd3d52ce0560&timestamp=2026-03-18T22%3A22%3A32.497Z&vendorCodes=W10%3D
Feed Product Type	Seller SKU	Update Delete	Item Name (aka Title)
feed_product_type	item_sku	update_delete	item_name
toyfigure	ALI-1005001411340405	PartialUpdate	1/35 Resin Figures Model kits Unassambled Unpainted kits 383
toyfigure	ALI-1005001468242731	PartialUpdate	1/35 Resin Figures Model kits Unassambled Unpainted kits 377
toyfigure	ALI-1005001469601022	PartialUpdate	1/35 Resin Figures Model kits Unassambled Unpainted kits 378
toyfigure	ALI-1005001469641073	PartialUpdate	1/35 Resin Figures Model Kits Modern Special Forces Unassambled Unpainted Kits 380
toyfigure	ALI-1005001493238826	PartialUpdate	1/35 Resin Figure Model kits Unassambled Unpainted kits 369
toyfigure	ALI-1005001493242500	PartialUpdate	1/35 Resin Figure Model kits 3 Figures Unassambled Unpainted kits 370
toyfigure	ALI-1005001493259396	PartialUpdate	1/35 Resin Figure Model kits 4 Figures Baggages(no car) Unassambled Unpainted kits 371
toyfigure	ALI-1005002299465460	PartialUpdate	30mm Resin Model Figure Unassembled and unpainted kit
toyfigure	ALI-1005002301158735	PartialUpdate	1/35 Resin Model Figure , Unassembled and unpainted kit
toyfigure	ALI-1005002323155372	PartialUpdate	1/35 Resin Model Figure , No Base, Unassembled and unpainted kit
toyfigure	ALI-1005002324145992	PartialUpdate	Resin Model Figure , Unassembled and unpainted kit
toyfigure	ALI-1005002513085561	PartialUpdate	30mm Base, Resin Model Figure , 2 Figure, Unassembled and unpainted kit
toyfigure	ALI-1005002513096403	PartialUpdate	40mm Base, Resin Model Figure ,Four people and three ships, Unassembled and unpainted kit
toyfigure	ALI-1005002513098550	PartialUpdate	30mm Base, Resin Model Figure , Unassembled and unpainted kit
toyfigure	ALI-1005002666961906	PartialUpdate	1/16 Resin Model Bust Unassembled and unpainted kit
toyfigure	ALI-1005002740797228	PartialUpdate	1/9 Resin Model Figure Unassembled and unpainted kit
toyfigure	ALI-1005002798665292	PartialUpdate	1/35 Resin Model Figure Two people and the radio, Unassembled and unpainted kit
toyfigure	ALI-1005002842418029	PartialUpdate	1/10 Resin BUST Model kits Werewolf Unassambled Unpainted S298
toyfigure	ALI-1005002842532100	PartialUpdate	1/35 Scale Resin Figure Model Kits Miniature Scene US Army Tank Crew 4 Figures Unassambled and Unpainted Diorama DIY Toys
toyfigure	ALI-1005002921204576	PartialUpdate	75mm Resin Model Figure , Unassembled and unpainted kit
toyfigure	ALI-1005002938631925	PartialUpdate	54mm Resin Model Figure , Unassembled and unpainted kit
toyfigure	ALI-1005002973045881	PartialUpdate	1/35 Resin Model Figure 4 Figure, Unassembled and unpainted kit
toyfigure	ALI-1005003186171039	PartialUpdate	1/35 Resin Model Figure Including mortars, Unassembled and unpainted kit
toyfigure	ALI-1005003285900201	PartialUpdate	1/72 Scale Resin Model Figure ,the boat with crew xvIII century,Unassembled and unpainted
toyfigure	ALI-1005003286016851	PartialUpdate	1/72 Scale Resin Model Figure Kits,Russian Special Forces,Unassembled and Unpainted
toyfigure	ALI-1005003286041072	PartialUpdate	1/72 Scale Resin Model Figure ,Russian Aerospace Forces,Unassembled and unpainted
toyfigure	ALI-1005003286054917	PartialUpdate	1/72 Scale Resin Figure Model, Passes-by Townsfolk, Unassembled and unpainted Garage Kit Miniature Toy
toyfigure	ALI-1005003286074910	PartialUpdate	1/72 Scale Resin Model Figure ,motorized infantry in attack,Unassembled and unpainted
toyfigure	ALI-1005003286079311	PartialUpdate	1/72 Scale Resin Model Figure ,Drone and Operator,Unassembled and Unpainted
toyfigure	ALI-1005003286130135	PartialUpdate	1/72 Scale Resin Model Figure ,Joint protesters,Unassembled and unpainted
toyfigure	ALI-1005003286169495	PartialUpdate	1/72 Scale Resin Model Figure ,Russian aircraft carts for weapons,Unassembled and unpainted
toyfigure	ALI-1005003333754940	PartialUpdate	75mm Scale Resin Model Figure ,Egypt Goddess Isis,Unassembled and Unpainted Kit
toyfigure	ALI-1005003356606786	PartialUpdate	1/35 Scale Resin Model Figure Kit Battlefield Reporter 2 Person Diorama Toy Unassembled and Unpainted Kit
toyfigure	ALI-1005003363626002	PartialUpdate	75mm Resin Model Figure Unassembled and unpainted kit
toyfigure	ALI-1005003372896446	PartialUpdate	1/35 Resin Model Figure 15 Figure, Unassembled and unpainted kit
toyfigure	ALI-1005003381570375	PartialUpdate	Resin Model Figure Unassembled and unpainted kit
toyfigure	ALI-1005003538566773	PartialUpdate	54mm Resin Model Figure Unassembled and unpainted kit
toyfigure	ALI-1005003538572754	PartialUpdate	1/9 Resin Model Bust Unassembled and unpainted kit
toyfigure	ALI-1005003617431737	PartialUpdate	1/16 Resin Model Figure Unassembled and unpainted kit
toyfigure	ALI-1005003968999975	PartialUpdate	Resin Die-Casting Character Model 1/72 Machine Gun Team Marching Walking Status
toyfigure	ALI-1005003969476081	PartialUpdate	1/72 Resin Soldier Sitting Position Officer Group (Excluded Cars) Unassembled Unpainted
toyfigure	ALI-1005003971945531	PartialUpdate	1/72 Resin Die-Cast Character Model Medical Soldiers Rescue Soldiers and Wounded Soldiers 11 People Unassembled and Unpainted
toyfigure	ALI-1005003972082184	PartialUpdate	1/72 Resin Die-Cast Character Model British Armored Forces 6-Person Autumn and Winter Wrapping
toyfigure	ALI-1005003972415025	PartialUpdate	1/72 Diecast Resin Figure Model US Army Killed Soldiers Small Soldier Scene Unassembled and Uncolored Diorama Toy
toyfigure	ALI-1005003972857940	PartialUpdate	1/72 Scale Die-Cast Resin Figure Model Infantry 10-Men Unassembled Unpainted
toyfigure	ALI-1005004238724432	PartialUpdate	1/35 Resin Model Figure , Unassembled and unpainted kit
toyfigure	ALI-1005004242823189	PartialUpdate	1/35 Resin Figure Model Kits Scene Layout WWI German Army Armour 5 Figures Unassambled Unpainted Kits 540
toyfigure	ALI-1005004249582455	PartialUpdate	1/24 Diecast Resin Stereo Model 3 Girls Photography Scene Self-Assembled (Not Painted) DIY Toys
toyfigure	ALI-1005004258770499	PartialUpdate	Resin Model Kit 1/35 Us MP Pointing to Drinking Coffee with Oil Tanker History Mini (2 FIGURES) Unassembled Uncolored
toyfigure	ALI-1005004267829992	PartialUpdate	1/20 Resin Model Figure , Unassembled and unpainted kit
toyfigure	ALI-1005004270016736	PartialUpdate	Resin Model Figure , Unassembled and unpainted kit
toyfigure	ALI-1005004270244104	PartialUpdate	1/9 Resin Model Figure , Unassembled and unpainted kit
toyfigure	ALI-1005004275303655	PartialUpdate	90mm Resin Model Figure Unassembled and unpainted kit
toyfigure	ALI-1005004276552717	PartialUpdate	1/24 75mm Anime Character Model Kit Unassembled Uncolored DIY Toy Miniatures
toyfigure	ALI-1005004276796676	PartialUpdate	1/35 Resin Model Figure Have a desk and chair, Unassembled and unpainted kit
toyfigure	ALI-1005004277004950	PartialUpdate	movie characters Sitting Posture 1/24 Resin Figure Model Kit Unassembled Unpainted DIY Toy Statue
toyfigure	ALI-1005004277134186	PartialUpdate	Anime character Black Samurai Raven 1/24 resin figure model resin handmade model diorama uncolored
toyfigure	ALI-1005004277157326	PartialUpdate	1/35 Resin Model Figure 5 Figure, Unassembled and unpainted kit
toyfigure	ALI-1005004277366749	PartialUpdate	1/35 Resin Model Figure 4 Figure, Unassembled and unpainted kit
toyfigure	ALI-1005004282385895	PartialUpdate	1/16 Resin Model Figure Unassembled and unpainted kit
toyfigure	ALI-1005004283704484	PartialUpdate	1/35 Scale Resin Model Figure Kits Arab Rebels 2-Person Unassembled and Unpainted Kit
toyfigure	ALI-1005004283748286	PartialUpdate	1/35 Scale Resin Model Figure ,SoldierX2,Unassembled and unpainted kit
toyfigure	ALI-1005004283948008	PartialUpdate	1/35 die cast resin figure model kit miniature scene soldier US Army infantry unassembled uncolored diy toy
toyfigure	ALI-1005004284361696	PartialUpdate	1/35 Resin Model Figure Including handcarts, Unassembled and unpainted kit
toyfigure	ALI-1005004287887537	PartialUpdate	1/10 Resin Model Bust Unassembled and unpainted kit
toyfigure	ALI-1005004289465816	PartialUpdate	1/9 Resin Model Bust Unassembled and unpainted kit
toyfigure	ALI-1005004327078968	PartialUpdate	1/35 Scale Resin Model Figure ,US Special Forces on Horse, Unassembled and Unpainted Kit Miniature
toyfigure	ALI-1005004329478000	PartialUpdate	1/24 Resin Figure model Kit Fantastic Historical Figure Aztec Priestess Unassembled Unpainted Figurines Toys
toyfigure	ALI-1005004423547478	PartialUpdate	1/24 Scale Full Height 86mm Anime garage kit Resin Model Kit Star Cowboy Spike Combat State Unassembled Uncolored
toyfigure	ALI-1005004488172141	PartialUpdate	1/24 Resin Figure Model Kit Movie Character Agent Carter Hobby Unassembled Unpainted Figures Toys
toyfigure	ALI-1005004523420920	PartialUpdate	1/35 Scale Resin Figure Model Assembly Kit Vietnam War Miniature Cigar Smoke Soldier Scene Layout Unassembled Unpainted
toyfigure	ALI-1005004542938016	PartialUpdate	1/35 Resin Model Figure kits History Mini military theme 2 Military tank soldiers Unassembled and unpainted kit
toyfigure	ALI-1005004544500174	PartialUpdate	1/35 Resin Model Figure Kits History Mini Military Theme 2 Female Soviet Tank Crew Soldiers Unassembled and Unpainted Kit
toyfigure	ALI-1005004544908145	PartialUpdate	1/35 Resin Model Figure Kits History Mini Military Theme MilitaryTank Crew in Battle 3 Soldiers Unassembled and Unpainted Kit
toyfigure	ALI-1005004545051606	PartialUpdate	Anime Cartoon Fairy Tale Figure 1/35 Scale Miniature Model Little Girl Kit Figurine Unassembled Unpainted
toyfigure	ALI-1005004559927449	PartialUpdate	1/35 Scale Resin Figure Model Kit British RAC Early Tank Crew N.Africa (3 Figures) Unpainted Unassembled DIY Toys
toyfigure	ALI-1005004560016192	PartialUpdate	1/35 Scale Resin Figure Model Kit Soviet Female Soldier at Rest 2 Figures Micro Scene Layout Unpainted Unassembled DIY Toys
toyfigure	ALI-1005004564939300	PartialUpdate	1/35 Scale Resin Figure Model Kit modeling Grenadier Single Micro Miniature Statue Unpainted Unassembled Hobby
toyfigure	ALI-1005004566265704	PartialUpdate	1/35 Resin Model Figure The German band has 22 members, Unassembled and unpainted kit
